Ibaraki,282362
Takatsuki,351503
Shimamoto,30927
Toyono,18279
Nose,9079
Minoh,136868
Ikeda,104993
Suita,385567
Toyonaka,401558
Settsu,87456
Hirakata,397289
Neyagawa,229733
Moriguchi,143096
Kadoma,119764
Katano,75033
Shijonawate,55177
Daito,119367
Higashiosaka,493940
Yao,264642
Matsubara,117641
Fujiidera,63688
Habikino,108736
Kashiwara,68775
Tondabayashi,108699
Osakasayama,58435
Taishi,13009
Kanan,15697
Chihayaakasaka,4909
Kawachinagano,101692
Izumi,184495
Osaka,2752412
Sakai,826161
Takaishi,55635
Izumiotsu,74412
Tadaoka,16567
Kishiwada,190658
Kaizuka,84443
Kumatori,43763
Misaki,14741
Hannan,51254
Izumisano,100131
Sennan,60102
Tajiri,8434